DatastoreSearch,"timestamp [UTC]",Count
false,"3/13/2023, 12:00:00.000 AM",1444
true,"3/13/2023, 12:00:00.000 AM",224
false,"1/30/2023, 12:00:00.000 AM",603
true,"1/30/2023, 12:00:00.000 AM",361
false,"2/20/2023, 12:00:00.000 AM",871
false,"2/13/2023, 12:00:00.000 AM",771
false,"3/6/2023, 12:00:00.000 AM",880
true,"3/6/2023, 12:00:00.000 AM",126
false,"1/23/2023, 12:00:00.000 AM",937
true,"1/23/2023, 12:00:00.000 AM",408
false,"2/27/2023, 12:00:00.000 AM",865
true,"2/27/2023, 12:00:00.000 AM",403
false,"4/10/2023, 12:00:00.000 AM",596
true,"4/10/2023, 12:00:00.000 AM",159
false,"2/6/2023, 12:00:00.000 AM",561
true,"2/6/2023, 12:00:00.000 AM",235
false,"4/3/2023, 12:00:00.000 AM",807
true,"4/3/2023, 12:00:00.000 AM",150
false,"3/20/2023, 12:00:00.000 AM",538
true,"3/20/2023, 12:00:00.000 AM",251
true,"2/20/2023, 12:00:00.000 AM",194
false,"3/27/2023, 12:00:00.000 AM",238
true,"3/27/2023, 12:00:00.000 AM",173
false,"1/16/2023, 12:00:00.000 AM",42
true,"1/16/2023, 12:00:00.000 AM",36
true,"2/13/2023, 12:00:00.000 AM",150
false,"4/17/2023, 12:00:00.000 AM",227
true,"4/17/2023, 12:00:00.000 AM",76
